Electronic Signature|Know the Importance of your Electronic Signature|10|1
Document Editing | Know how to properly edit an official document | 8 | 1
Parking Requirements | Know where to park at facility | 4 | 4
Data Security | Protect crucial data | 9 | 2
Data Access | Know how to access important data | 7 | 3
Night Watch | Know what to do on a nights watch | 8 | 5
Crying Manual| How to cry properly | 1 | 11
Dying Manual | Learn what benefits your loved ones and fans will receive in the event of your death | 2 | 15
Driving Manual | Learn how to properly drive a truck | 3 | 3
Confidentiality Agreement | Learn about what you can and cannot tell anyone | 10 | 3
